City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Castro,BR,80.82,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
5,Belmonte,BR,84.2,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
10,Bambous Virieux,MU,80.6,few clouds,-20.3428,57.7575,Casa Tia Villa
20,Rikitea,PF,78.21,overcast clouds,-23.1203,-134.9692,Pension Maro'i
21,Grand Baie,MU,80.01,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
31,Avarua,CK,75.2,few clouds,-21.2078,-159.775,Paradise Inn
32,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
33,Hambantota,LK,77.23,overcast clouds,6.1241,81.1185,Bungalow 63
35,Samarai,PG,80.64,clear sky,-10.6167,150.6667,Nuli Sapi
37,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
38,Sabang,ID,81.43,clear sky,5.8933,95.3214,Hotel Citra
43,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
48,Cairns,AU,77.0,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
49,Necochea,AR,78.01,clear sky,-38.5473,-58.7368,dyd -mar Hotel
54,Puerto Ayora,EC,86.0,clear sky,-0.7393,-90.3518,Castillo Galapagos
58,Hithadhoo,MV,82.6,broken clouds,-0.6,73.0833,Scoop Guest House
63,Butaritari,KI,80.26,light rain,3.0707,172.7902,Isles Sunset Lodge
65,Carnarvon,AU,79.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
68,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
69,Poum,NC,79.83,few clouds,-20.2333,164.0167,Gîte kajeon
78,Kismayo,SO,77.45,clear sky,-0.3582,42.5454,Agan-Hotel
80,Ankazoabo,MG,78.49,light rain,-22.2833,44.5167,ENCEIN BUREAU CISCO
101,Villa Constitucion,AR,84.99,clear sky,-33.2278,-60.3297,HOTEL EMBAJADOR
102,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
103,Cabo San Lucas,MX,80.01,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
106,Sao Joao Da Barra,BR,89.6,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
113,Cayenne,GF,82.4,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
114,Mackay,AU,78.8,scattered clouds,-21.15,149.2,International Lodge Motel
115,Noumea,NC,79.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
120,Atuona,PF,77.97,scattered clouds,-9.8,-139.0333,Villa Enata
123,Kavieng,PG,82.87,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
129,Alofi,NU,75.2,light rain,-19.0595,-169.9187,Taloa Heights
131,Booue,GA,80.44,light rain,-0.0921,11.9385,Splendeur de l'équateur
135,Nisia Floresta,BR,87.8,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
137,Port Keats,AU,82.15,moderate rain,-14.25,129.55,TDC Village (Hundred Man Camp)
144,Kununurra,AU,80.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
147,Sambava,MG,78.89,light rain,-14.2667,50.1667,Melrose
148,Ilhabela,BR,88.65,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
149,Kattivakkam,IN,75.2,haze,13.2167,80.3167,Raj's villa
150,Kupang,ID,79.93,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
153,Lucea,JM,84.0,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
169,Quatre Cocos,MU,80.6,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
173,Acajutla,SV,82.4,clear sky,13.5928,-89.8275,asi es
178,Saint-Philippe,RE,82.4,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
