City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,80.82,71,29,10.13,scattered clouds
1,Chuy,UY,-33.6971,-53.4616,73.76,61,90,20.38,overcast clouds
2,Lompoc,US,34.6391,-120.4579,54.0,66,1,10.11,clear sky
3,Viedma,AR,-40.8135,-62.9967,91.0,20,0,2.17,clear sky
4,Tiksi,RU,71.6872,128.8694,-24.77,86,98,3.42,overcast clouds
5,Belmonte,BR,-15.8631,-38.8828,84.2,74,20,10.36,few clouds
6,Hilo,US,19.7297,-155.09,66.2,82,90,3.44,moderate rain
7,Beringovskiy,RU,63.05,179.3167,-1.14,92,100,21.09,snow
8,Jamestown,US,42.097,-79.2353,32.0,64,1,3.44,clear sky
9,Yulara,AU,-25.2406,130.9889,69.8,68,90,14.97,overcast clouds
10,Bambous Virieux,MU,-20.3428,57.7575,80.6,74,20,9.22,few clouds
11,Nikolskoye,RU,59.7035,30.7861,10.4,85,20,13.42,few clouds
12,Ushuaia,AR,-54.8,-68.3,57.2,62,20,40.29,few clouds
13,Kapaa,US,22.0752,-159.319,60.8,82,75,5.75,broken clouds
14,Luderitz,NA,-26.6481,15.1594,74.05,52,0,24.83,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,64.4,42,0,35.68,clear sky
16,Tasiilaq,GL,65.6145,-37.6368,26.6,80,90,18.41,light snow
17,Ribeira Grande,PT,38.5167,-28.7,55.4,58,40,9.22,scattered clouds
18,Filadelfia,US,39.9523,-75.1638,39.0,48,20,17.27,few clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,73.4,53,0,18.41,clear sky
20,Rikitea,PF,-23.1203,-134.9692,78.21,69,100,10.87,overcast clouds
21,Grand Baie,MU,-20.0182,57.5802,80.01,75,1,5.99,light rain
22,Nanortalik,GL,60.1432,-45.2371,22.69,81,100,4.61,overcast clouds
23,Tungor,RU,53.3808,142.9564,-12.75,88,100,17.85,overcast clouds
24,Dikson,RU,73.5069,80.5464,-8.81,91,100,10.83,overcast clouds
25,Kodiak,US,57.79,-152.4072,17.6,86,1,6.91,clear sky
26,Torbay,CA,47.6666,-52.7314,48.2,100,90,4.61,light rain
27,Pasni,PK,25.2631,63.471,69.4,51,0,6.13,clear sky
28,Shelburne,CA,44.0787,-80.2041,33.8,55,1,5.75,clear sky
29,La Ronge,CA,55.1001,-105.2842,-9.4,77,76,3.44,broken clouds
30,Bethanien,NA,-26.502,17.1583,94.75,12,0,9.89,clear sky
